text,specialist
"Acute Sinusitis: Inflammation or swelling of the tissue lining the sinuses. Often caused by the common cold (viral) or bacterial infection. Symptoms include thick yellow/green nasal discharge, nasal congestion, pain/tenderness around eyes and cheeks, and headache. Diagnosis is clinical; CT scans are used for chronic cases. Treatment involves saline irrigation, nasal corticosteroids, and antibiotics if symptoms persist beyond 10 days.",Otolaryngologist
"Hepatitis C: A viral infection that causes liver inflammation, sometimes leading to serious liver damage. Transmitted through contaminated blood. Many people have no symptoms until liver damage manifests; late symptoms include jaundice, fatigue, and easy bleeding. Diagnosis is via HCV antibody test followed by PCR RNA test. Standard treatment is now highly effective using Direct-Acting Antivirals (DAAs) for 8-12 weeks.",Hepatologist
"Herniated Disc: A condition where the soft center of a spinal disc pushes through a crack in the tougher exterior casing. Causes include age-related wear and tear or strain. Symptoms are arm or leg pain (radiculopathy), numbness, and weakness in muscles served by the affected nerve. Diagnosis is confirmed by MRI of the spine. Treatment ranges from physical therapy and NSAIDs to epidural steroid injections or surgery (discectomy) for severe cases.",Orthopedic Surgeon
"Sickle Cell Anemia: An inherited red blood cell disorder in which there aren't enough healthy red blood cells to carry oxygen throughout the body. Caused by a mutation in the hemoglobin-Beta gene. Symptoms include episodes of pain (crises), swelling of hands and feet, and frequent infections. Diagnosis is via hemoglobin electrophoresis. Treatment includes hydration, pain management, hydroxyurea, and blood transfusions.",Hematologist
"Benign Prostatic Hyperplasia (BPH): Age-associated prostate gland enlargement that can cause urination difficulty. It is not cancer. Symptoms include frequent or urgent need to urinate, nocturia, weak urine stream, or inability to completely empty the bladder. Diagnosis includes Digital Rectal Exam (DRE) and PSA test to rule out cancer. Treatment includes alpha-blockers to relax muscles, 5-alpha reductase inhibitors to shrink the prostate, or surgical resection (TURP).",Urologist
"Systemic Lupus Erythematosus (SLE): An autoimmune disease in which the immune system attacks its own tissues, causing widespread inflammation and tissue damage in the affected organs. Symptoms vary but often include a butterfly rash on the face, joint pain, fatigue, and photosensitivity. Diagnosis is complex, involving ANA tests and specific antibodies (Anti-dsDNA). Treatment involves hydroxychloroquine, corticosteroids, and immunosuppressants.",Rheumatologist
"Tuberculosis (TB): A potentially serious infectious disease that mainly affects the lungs. Caused by the bacterium Mycobacterium tuberculosis. Symptoms include a persistent cough lasting three weeks or more, coughing up blood, chest pain, weight loss, and night sweats. Diagnosis is via Tuberculin skin test, IGRA blood test, and Chest X-ray. Treatment requires a long course (6-9 months) of multiple antibiotics (RIPE: Rifampin, Isoniazid, Pyrazinamide, Ethambutol).",Infectious Disease Specialist
"Gallstones (Cholelithiasis): Hardened deposits of digestive fluid that can form in the gallbladder. Causes include excess cholesterol or bilirubin in bile. Symptoms include sudden and intensifying pain in the upper right abdomen, back pain, and nausea. Diagnosis is typically confirmed by abdominal ultrasound. Treatment is usually surgical removal of the gallbladder (cholecystectomy) if the stones cause symptoms.",General Surgeon
"Schizophrenia: A serious mental disorder in which people interpret reality abnormally. Exact causes are unknown but involve genetics and brain chemistry. Symptoms include hallucinations, delusions, disorganized thinking (speech), and negative symptoms (reduced ability to function). Diagnosis is based on DSM-5 criteria observing symptoms for at least 6 months. Treatment requires lifelong management with antipsychotic medications and psychosocial therapy.",Psychiatrist
"Melanoma: The most serious type of skin cancer, developing in the cells (melanocytes) that produce melanin. Major risk factor is UV radiation exposure. Symptoms include a change in an existing mole or the development of a new pigmented or unusual-looking growth (ABCDE rule: Asymmetry, Border, Color, Diameter, Evolving). Diagnosis is via excisional biopsy. Treatment involves surgical excision, lymph node dissection, and immunotherapy or targeted therapy for metastatic disease.",Oncologist
"Congestive Heart Failure (CHF): A chronic condition in which the heart doesn't pump blood as well as it should. Causes include CAD, hypertension, and valve conditions. Symptoms are shortness of breath (dyspnea), fatigue, and swelling (edema) in the legs and feet. Diagnosis involves Echocardiogram and BNP blood test. Treatment includes ACE inhibitors, beta-blockers, diuretics to reduce fluid, and lifestyle changes like low-sodium diet.",Cardiologist
"Gout: A common and complex form of arthritis characterized by sudden, severe attacks of pain, swelling, redness, and tenderness in one or more joints, most often in the big toe. Caused by hyperuricemia (high uric acid) forming urate crystals in the joint. Diagnosis involves joint fluid aspiration showing crystals. Treatment for acute attacks includes NSAIDs and colchicine; chronic management involves allopurinol to lower uric acid.",Rheumatologist
"Multiple Sclerosis (MS): An autoimmune disease of the central nervous system where the immune system attacks the protective sheath (myelin) that covers nerve fibers. Causes are unknown but involve genetic and environmental factors. Symptoms vary widely but include numbness, tremor, vision problems, and fatigue. Diagnosis is supported by MRI showing lesions and lumbar puncture. Treatment focuses on speeding recovery from attacks (steroids) and slowing progression (interferons, ocrelizumab).",Neurologist
"Pneumonia: An infection that inflames the air sacs in one or both lungs, which may fill with fluid or pus. Caused by bacteria, viruses, or fungi. Symptoms include cough with phlegm, fever, chills, and difficulty breathing. Diagnosis is confirmed by chest X-ray and physical exam (crackles). Treatment depends on the cause; bacterial pneumonia is treated with antibiotics (azithromycin, amoxicillin), while viral requires supportive care.",Pulmonologist
"Generalized Anxiety Disorder (GAD): A mental health disorder characterized by persistent and excessive worry about a number of different things. Causes involve brain chemistry and life experiences. Symptoms include restlessness, fatigue, difficulty concentrating, and muscle tension. Diagnosis is based on clinical history (DSM-5). Treatment includes psychotherapy (CBT) and medications such as SSRIs or benzodiazepines for short-term relief.",Psychiatrist
"Acne Vulgaris: A skin condition that occurs when hair follicles become plugged with oil and dead skin cells. Driven by hormonal changes and bacteria (Cutibacterium acnes). Symptoms include whiteheads, blackheads, and pimples, usually on the face, forehead, chest, and back. Diagnosis is clinical. Treatment ranges from topical retinoids and benzoyl peroxide to oral antibiotics (doxycycline) or isotretinoin for severe nodular acne.",Dermatologist
"Pulmonary Embolism (PE): A blockage in one of the pulmonary arteries in the lungs, usually caused by blood clots that travel to the lungs from the legs (DVT). Symptoms include sudden shortness of breath, chest pain that worsens when breathing in, and cough producing bloody sputum. Diagnosis is via CT Pulmonary Angiography (CTPA). Treatment requires immediate anticoagulation (heparin, apixaban) or thrombolytic therapy for life-threatening cases.",Pulmonologist
"Cirrhosis: Late-stage scarring (fibrosis) of the liver caused by many forms of liver diseases and conditions, such as hepatitis and chronic alcoholism. Symptoms are initially absent but progress to fatigue, jaundice, ascites (fluid in abdomen), and confusion (encephalopathy). Diagnosis involves liver function tests, imaging (elastography), and biopsy. Treatment prevents further damage but liver transplant is the only cure for end-stage failure.",Hepatologist
"Carpal Tunnel Syndrome: A condition that causes numbness, tingling, and weakness in the hand due to pressure on the median nerve in the wrist. Risk factors include repetitive hand motions and anatomy. Symptoms are numbness or pain in the thumb and first three fingers, often at night. Diagnosis uses physical tests (Phalen's maneuver) and nerve conduction studies. Treatment includes wrist splinting, corticosteroids, and surgical release of the transverse carpal ligament.",Orthopedic Surgeon
"Insomnia Disorder: A sleep disorder characterized by difficulty falling and/or staying asleep. Causes include stress, irregular sleep schedule, and mental health disorders. Symptoms include daytime sleepiness, irritability, and problems with focus. Diagnosis is clinical, sometimes aided by a sleep diary or polysomnography. Treatment emphasizes sleep hygiene and Cognitive Behavioral Therapy for Insomnia (CBT-I), with short-term use of sedatives (zolpidem) if necessary.",Psychiatrist
"Breast Cancer: Cancer that forms in the cells of the breasts. Risk factors include genetics (BRCA1/2 mutations), age, and estrogen exposure. Symptoms include a breast lump, change in size/shape, or nipple discharge. Diagnosis involves mammography, ultrasound, and core needle biopsy. Treatment is multimodal: surgery (lumpectomy/mastectomy), chemotherapy, radiation therapy, and hormonal therapy (tamoxifen, aromatase inhibitors).",Oncologist
"Epilepsy: A central nervous system disorder in which brain activity becomes abnormal, causing seizures or periods of unusual behavior and loss of awareness. Causes can be genetic, head trauma, or stroke. Diagnosis is confirmed by Electroencephalogram (EEG) showing abnormal brain wave patterns. Treatment primarily involves anti-seizure medications (levetiracetam, valproate); surgery or neurostimulation are options for drug-resistant cases.",Neurologist
"Diverticulitis: Inflammation or infection of small pouches (diverticula) that can form in the lining of the digestive system. Risk factors include age and low-fiber diet. Symptoms include severe pain in the lower left abdomen, fever, nausea, and change in bowel habits. Diagnosis is confirmed by CT scan of the abdomen. Treatment ranges from rest and oral antibiotics (ciprofloxacin/metronidazole) to intravenous antibiotics and surgery for complications like perforation.",Gastroenterologist
"Malaria: A life-threatening disease caused by parasites that are transmitted to people through the bites of infected female Anopheles mosquitoes. Symptoms include high fevers, shaking chills, and flu-like illness. Diagnosis is made by examining a blood smear under a microscope for parasites. Treatment involves antimalarial drugs such as artemisinin-based combination therapies (ACTs) or chloroquine, depending on parasite resistance.",Infectious Disease Specialist
"Obsessive-Compulsive Disorder (OCD): A chronic disorder in which a person has uncontrollable, reoccurring thoughts (obsessions) and/or behaviors (compulsions) that he or she feels the urge to repeat. Biology and environment play a role. Symptoms include fear of germs, need for symmetry, and excessive cleaning or checking. Diagnosis is clinical per DSM-5. Treatment combines Exposure and Response Prevention (ERP) therapy and medications (SSRIs).",Psychiatrist
"Glomerulonephritis: Inflammation of the tiny filters in the kidneys (glomeruli). It can be acute or chronic, caused by infections (strep throat), lupus, or unknown factors. Symptoms include pink or cola-colored urine (hematuria), foamy urine (proteinuria), and hypertension. Diagnosis involves urinalysis and kidney biopsy. Treatment focuses on the underlying cause, often using corticosteroids and immunosuppressants to reduce inflammation.",Nephrologist
"Rotator Cuff Tear: A tear in the tissues connecting muscle to bone (tendons) around the shoulder joint. Caused by injury or degeneration. Symptoms include a dull ache deep in the shoulder, arm weakness, and difficulty raising the arm. Diagnosis is confirmed via MRI or ultrasound. Treatment typically begins with physical therapy and anti-inflammatory drugs; surgical repair is necessary for complete tears or failed conservative management.",Orthopedic Surgeon
"Tinnitus: The perception of noise or ringing in the ears when no external sound is present. It is a symptom of an underlying condition, such as age-related hearing loss, ear injury, or circulatory system disorder. Diagnosis involves audiological exams to check hearing and imaging (MRI) to rule out tumors. Treatment treats the underlying cause; management strategies include masking devices, hearing aids, and cognitive behavioral therapy.",Otolaryngologist
"Acute Pancreatitis: Sudden inflammation of the pancreas. The most common causes are gallstones and excessive alcohol intake. Symptoms include severe upper abdominal pain radiating to the back, nausea, vomiting, and fever. Diagnosis requires 2 of 3: characteristic pain, elevated lipase/amylase levels (3x normal), and imaging findings (CT). Treatment is supportive: IV fluids, pain management, and bowel rest (NPO) until inflammation subsides.",Gastroenterologist
"Post-Traumatic Stress Disorder (PTSD): A mental health condition that's triggered by a terrifying event — either experiencing it or witnessing it. Symptoms include flashbacks, nightmares, severe anxiety, and uncontrollable thoughts about the event. Diagnosis is based on specific symptom criteria lasting over a month. Treatment involves trauma-focused psychotherapies (EMDR, CPT) and medications like SSRIs (sertraline, paroxetine).",Psychiatrist
"Hemorrhoids: Swollen veins in the lowest part of the rectum and anus. Causes include straining during bowel movements and pregnancy. Symptoms include bleeding during bowel movements, itching, and pain. Diagnosis is by visual inspection and anoscopy. Treatment includes high-fiber diet, topical creams, sitz baths, and procedures like rubber band ligation or surgical hemorrhoidectomy for severe cases.",Proctologist
"Ischemic Stroke: A medical emergency where blood supply to part of the brain is interrupted or reduced, preventing brain tissue from getting oxygen. Most often caused by a thrombus or embolus. Symptoms include sudden numbness (face/arm/leg), confusion, trouble speaking, and vision loss (FAST). Diagnosis is immediate via CT or MRI of the brain. Treatment involves tPA (clot-buster) if within the window, or mechanical thrombectomy.",Neurologist
"Sepsis: A life-threatening condition that arises when the body's response to an infection causes injury to its own tissues and organs. Bacterial infections are the most common cause. Symptoms include fever, hypotension, tachycardia, and confusion. Diagnosis involves blood cultures, lactate levels, and SOFA score assessment. Treatment requires rapid administration of broad-spectrum antibiotics and intravenous fluids.",Intensivist
"Peptic Ulcer Disease (PUD): Open sores that develop on the inside lining of the stomach and the upper portion of the small intestine. Causes include H. pylori infection and long-term use of NSAIDs. Symptoms are burning stomach pain, feeling of fullness, and intolerance to fatty foods. Diagnosis is confirmed via Upper Endoscopy (EGD). Treatment includes Proton Pump Inhibitors (PPIs) and antibiotics to eradicate H. pylori.",Gastroenterologist
"Polycystic Ovary Syndrome (PCOS): A hormonal disorder causing enlarged ovaries with small cysts on the outer edges. Associated with excess androgen levels. Symptoms include irregular periods, excess hair growth (hirsutism), acne, and obesity. Diagnosis involves pelvic ultrasound and blood tests for hormone levels. Treatment focuses on managing symptoms via birth control pills, metformin, and lifestyle changes.",Endocrinologist
"Lyme Disease: A vector-borne illness caused by the bacterium Borrelia burgdorferi, transmitted by the bite of an infected black-legged tick. Symptoms typically begin with a bull's-eye rash (erythema migrans), fever, fatigue, and joint pain. Diagnosis is serological (ELISA followed by Western Blot). Standard treatment is a course of oral antibiotics, typically doxycycline or amoxicillin.",Infectious Disease Specialist
"Scoliosis: A sideways curvature of the spine that most often occurs during the growth spurt just before puberty. The cause is often idiopathic. Symptoms include uneven shoulders, one shoulder blade that appears more prominent than the other, and uneven waist. Diagnosis is confirmed by X-rays measuring the Cobb angle. Treatment ranges from observation and bracing to spinal fusion surgery for severe curves.",Orthopedist
"Anorexia Nervosa: An eating disorder characterized by an abnormally low body weight, an intense fear of gaining weight, and a distorted perception of weight. Causes are psychological, environmental, and biological. Symptoms include extreme weight loss, fatigue, dizziness, and refusal to eat. Diagnosis is based on physical exam and psychological evaluation (DSM-5). Treatment involves nutritional rehabilitation and psychotherapy.",Psychiatrist
"Kidney Stones (Nephrolithiasis): Hard deposits made of minerals and salts that form inside the kidneys. Causes include low water intake, diet, and certain supplements. Symptoms are severe pain in the side and back (renal colic), pink/red urine, and nausea. Diagnosis is via CT scan or Ultrasound. Treatment involves hydration and pain medication for small stones; larger stones require lithotripsy or surgical removal.",Urologist
"Cystic Fibrosis: A hereditary disease that affects the lungs and digestive system. Caused by a mutation in the CFTR gene leading to thick, sticky mucus production. Symptoms include persistent cough, frequent lung infections, wheezing, and poor growth. Diagnosis is via the sweat chloride test and genetic testing. Treatment involves chest physical therapy, bronchodilators, and CFTR modulator therapies.",Pulmonologist
"Rosacea: A common skin condition that causes redness and visible blood vessels in the face. The cause is unknown but involves immune and neurovascular factors. Symptoms include facial redness, swollen red bumps, and eye problems. Diagnosis is clinical based on appearance. Treatment includes topical drugs (metronidazole, ivermectin), oral antibiotics for inflammation, and laser therapy for visible vessels.",Dermatologist
"Tetanus: A serious bacterial infection that causes painful muscle spasms and can lead to death. Caused by Clostridium tetani toxin entering through a wound. Symptoms include jaw cramping (lockjaw), muscle stiffness, and trouble swallowing. Diagnosis is clinical based on history and signs. Treatment involves tetanus antitoxin (TIG), antibiotics, vaccine booster, and supportive care in an ICU.",Infectious Disease Specialist
"Peripheral Artery Disease (PAD): A common circulatory problem in which narrowed arteries reduce blood flow to the limbs. Caused by atherosclerosis. Symptoms include leg pain when walking (claudication), numbness, and coldness in the lower leg. Diagnosis involves Ankle-Brachial Index (ABI) and ultrasound. Treatment includes lifestyle changes, statins, antiplatelet agents, and sometimes angioplasty.",Vascular Surgeon
"Age-Related Macular Degeneration (AMD): An eye disease that blurs the sharp, central vision needed for activities like reading. It damages the macula. Symptoms include distorted vision and a dark, empty area in the center of vision. Diagnosis is via dilated eye exam and OCT imaging. Treatment for the 'wet' type involves anti-VEGF injections; 'dry' type is managed with specific vitamin formulations (AREDS2).",Ophthalmologist
"Hodgkin Lymphoma: A cancer of the lymphatic system. It is distinguished by the presence of Reed-Sternberg cells. Symptoms include painless swelling of lymph nodes in the neck, armpits or groin, persistent fatigue, and fever. Diagnosis is confirmed by lymph node biopsy. Treatment is highly effective and typically involves chemotherapy (e.g., ABVD regimen) and radiation therapy.",Oncologist
"Irritable Bowel Syndrome (IBS): A common disorder that affects the large intestine. It is a functional gastrointestinal disorder. Symptoms include cramping, abdominal pain, bloating, gas, and diarrhea or constipation. Diagnosis is a diagnosis of exclusion and Rome IV criteria. Treatment focuses on diet (low FODMAP), stress management, and medications like antispasmodics or laxatives.",Gastroenterologist
"Attention-Deficit/Hyperactivity Disorder (ADHD): A chronic condition including attention difficulty, hyperactivity, and impulsiveness. Causes involve brain anatomy and neurotransmitter regulation. Symptoms include difficulty sustaining attention, fidgeting, and excessive talking. Diagnosis involves clinical interview and rating scales. Treatment includes stimulants (methylphenidate, amphetamines) and behavioral therapy.",Psychiatrist
"Scabies: An itchy skin infestation caused by a microscopic burrowing mite called Sarcoptes scabiei. It spreads quickly through close physical contact. Symptoms include intense itching (worse at night) and a pimple-like rash with thin, irregular burrow tracks. Diagnosis is usually clinical or via skin scraping. Treatment involves prescription creams (permethrin) or oral ivermectin; contacts must also be treated.",Dermatologist
"Meningitis: Inflammation of the protective membranes covering the brain and spinal cord. Can be viral, bacterial, or fungal. Symptoms include sudden high fever, stiff neck, and severe headache. Diagnosis is via Lumbar Puncture (spinal tap) to analyze CSF. Treatment depends on cause; bacterial meningitis is a medical emergency requiring intravenous antibiotics and corticosteroids.",Neurologist
"Addison's Disease: A disorder in which the adrenal glands don't produce enough hormones. Caused by autoimmune damage to the adrenal cortex. Symptoms include extreme fatigue, weight loss, darkening of the skin (hyperpigmentation), and low blood pressure. Diagnosis is via blood tests (low sodium, high potassium, low cortisol) and ACTH stimulation test. Treatment involves hormone replacement therapy (hydrocortisone/fludrocortisone).",Endocrinologist
